nome,jogo,time_atual,imagem_url,total_claims,regiao
Yatsuka,valorant,DETONATION FOCUSME,,0,Pacific
BeYN,valorant,DRX,,0,Pacific
Free1ng,valorant,DRX,,0,Pacific
Hermes,valorant,DRX,,0,Pacific
Hyunmin,valorant,DRX,,0,Pacific
MaKo,valorant,DRX,,0,Pacific
Yong,valorant,DRX,,0,Pacific
Crws,valorant,FULL SENSE,,0,Pacific
JitboyS,valorant,FULL SENSE,,0,Pacific
Killua,valorant,FULL SENSE,,0,Pacific
Leviathan,valorant,FULL SENSE,,0,Pacific
Primmie,valorant,FULL SENSE,,0,Pacific
Thyy,valorant,FULL SENSE,,0,Pacific
Ash,valorant,GEN.G,,0,Pacific
Karon,valorant,GEN.G,,0,Pacific
Lakia,valorant,GEN.G,,0,Pacific
t3xture,valorant,GEN.G,,0,Pacific
Zynx,valorant,GEN.G,,0,Pacific
Autumn,valorant,GLOBAL ESPORTS,,0,Pacific
Kr1stal,valorant,GLOBAL ESPORTS,,0,Pacific
PatMen,valorant,GLOBAL ESPORTS,,0,Pacific
Udotan,valorant,GLOBAL ESPORTS,,0,Pacific
xavi8k,valorant,GLOBAL ESPORTS,,0,Pacific
Dambi,valorant,NongShim RedForce,,0,Pacific
Francis,valorant,NongShim RedForce,,0,Pacific
Ivy,valorant,NongShim RedForce,,0,Pacific
Rb,valorant,NongShim RedForce,,0,Pacific
Xross,valorant,NongShim RedForce,,0,Pacific
d4v41,valorant,PAPER REX,,0,Pacific
f0rsakeN,valorant,PAPER REX,,0,Pacific
Invy,valorant,PAPER REX,,0,Pacific
Jinggg,valorant,PAPER REX,,0,Pacific
something,valorant,PAPER REX,,0,Pacific
Crazyguy,valorant,REX REGUM QEON,,0,Pacific
Jemkin,valorant,REX REGUM QEON,,0,Pacific
Kushy,valorant,REX REGUM QEON,,0,Pacific
Monyet,valorant,REX REGUM QEON,,0,Pacific
xffero,valorant,REX REGUM QEON,,0,Pacific
Buzz,valorant,T1,,0,Pacific
carpe,valorant,T1,,0,Pacific
